SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,SD,f1,f2,g
0.24,0.073,0.83,824,3,193,89,185,269,159,1.92E-06,3.00E-06,18,0.264,0.393,-0.129
0.4,0.039,0.81,420,56,219,57,163,337,162,1.36E-05,7.00E-06,11,0.263,0.274,-0.011
0.39,0.022,0.91,642,39,221,135,124,392,189,9.85E-06,5.00E-06,20,0.263,0.259,0.004
0.15,0.081,0.95,295,55,136,143,133,390,166,2.74E-05,1.00E-05,18,0.261,0.223,0.038
0.12,0.1,0.97,831,4,119,84,171,378,193,1.92E-05,8.00E-06,16,0.26,0.342,-0.082
0.18,0.05,0.83,910,78,145,101,114,329,191,1.52E-05,6.00E-06,15,0.259,0.247,0.012
0.33,0.029,0.82,145,69,202,180,106,354,166,1.78E-06,2.00E-06,12,0.258,0.258,0
0.27,0.015,0.82,966,43,118,92,137,285,195,4.74E-06,2.00E-06,25,0.255,0.34,-0.085
0.36,0.056,0.93,436,7,178,162,196,346,175,4.02E-06,3.00E-06,18,0.25,0.215,0.035
0.35,0.045,1,953,17,204,180,120,318,163,7.80E-06,6.00E-06,29,0.249,0.249,0
0.21,0.099,0.82,831,53,188,181,135,268,165,1.23E-05,6.00E-06,11,0.247,0.311,-0.064
0.19,0.057,0.94,917,59,158,147,156,369,188,1.33E-05,6.00E-06,21,0.244,0.273,-0.029
0.39,0.073,0.81,26,85,136,179,199,310,179,4.86E-06,9.00E-06,27,0.244,0.339,-0.095
0.34,0.027,0.96,336,84,205,51,164,331,162,5.28E-06,2.00E-06,28,0.244,0.407,-0.163
0.39,0.044,0.82,755,79,126,59,130,282,159,1.52E-05,7.00E-06,23,0.243,0.335,-0.092
0.13,0.027,0.94,173,26,214,188,170,221,157,4.80E-06,5.00E-06,23,0.242,0.283,-0.041
0.38,0.039,0.85,421,84,178,178,143,298,177,5.97E-06,3.00E-06,16,0.242,0.358,-0.116
0.38,0.027,0.98,905,11,213,188,158,358,180,2.18E-05,1.00E-05,18,0.241,0.307,-0.066
0.17,0.042,0.87,310,80,174,80,101,215,180,7.38E-06,6.00E-06,29,0.241,0.283,-0.042
0.15,0.062,0.86,152,72,217,111,128,331,168,7.90E-06,1.00E-05,14,0.241,0.217,0.024
0.32,0.046,0.87,708,17,159,52,149,255,172,7.65E-06,3.00E-06,17,0.241,0.261,-0.02
0.13,0.057,0.93,336,64,190,197,112,368,167,8.55E-06,5.00E-06,23,0.24,0.229,0.011
0.12,0.031,0.86,320,90,141,179,121,299,172,7.50E-06,6.00E-06,16,0.24,0.288,-0.048
